"Type","Date","Part.of.a.policing.operation","Policing.operation","Latitude","Longitude","Gender","Age.range","Self.defined.ethnicity","Officer.defined.ethnicity","Legislation","Object.of.search","Outcome","Outcome.linked.to.object.of.search","Removal.of.more.than.just.outer.clothing","lsoa21cd","lsoa21nm"
"Person search","2019-06-03T03:00:00+00:00","False",NA,53.576967,-2.429946,"","over 34","White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Article for use in theft","A no further action disposal","","False","E01033217","Bolton 016E"
"Person search","2019-06-03T03:00:00+00:00","False",NA,53.576967,-2.429946,"Male","over 34","White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Article for use in theft","A no further action disposal","","False","E01033217","Bolton 016E"
"Person search","2019-06-03T03:08:00+00:00","False",NA,53.490041,-2.623461,"Male","25-34","White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Article for use in theft","Arrest","True","False","E01006222","Wigan 035C"
"Person search","2019-06-03T04:05:00+00:00","False",NA,53.394895,-2.181153,"Male","18-24","White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","A no further action disposal","","False","E01005762","Stockport 026B"
"Person search","2019-06-03T04:05:00+00:00","False",NA,53.394895,-2.181153,"Male","10-17","White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","Arrest","True","False","E01005762","Stockport 026B"
"Person search","2019-06-03T07:55:00+00:00","False",NA,53.446833,-2.310949,"Male","18-24","White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Stolen goods","A no further action disposal","","False","E01006180","Trafford 011D"
"Person search","2019-06-03T07:58:00+00:00","False",NA,53.445677,-2.30942,"Male","10-17","White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Stolen goods","A no further action disposal","","False","E01006180","Trafford 011D"
"Person and Vehicle search","2019-06-03T09:32:00+00:00","False",NA,53.559325,-2.526036,"Male","18-24","Black/African/Caribbean/Black British - African","Black","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","Khat or Cannabis warning","True","False","E01004776","Bolton 031A"
"Person search","2019-06-03T10:44:00+00:00","False",NA,53.597055,-2.432719,"Male","25-34","White - Any other White background","White","Criminal Justice and Public Order Act 1994 (section 60)","Anything to threaten or harm anyone","A no further action disposal","","False","E01004767","Bolton 005B"
"Person search","2019-06-03T11:17:00+00:00","True",NA,53.484064,-2.240726,"Male","25-34","White - English/Welsh/Scottish/Northern Irish/British","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","Khat or Cannabis warning","True","False","E01033658","Manchester 054C"
"Person search","2019-06-03T11:33:00+00:00","False",NA,53.597733,-2.276972,"Male","10-17","White - English/Welsh/Scottish/Northern Irish/British","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal","","False","E01004959","Bury 008B"
"Person search","2019-06-03T11:33:00+00:00","False",NA,53.597733,-2.276972,"Male","10-17","White - English/Welsh/Scottish/Northern Irish/British","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal","","False","E01004959","Bury 008B"
"Person search","2019-06-03T11:33:00+00:00","False",NA,53.597733,-2.276972,"Male","10-17","White - English/Welsh/Scottish/Northern Irish/British","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal","","False","E01004959","Bury 008B"
"Person search","2019-06-03T11:45:00+00:00","False",NA,53.592955,-2.435487,"Male","25-34","White - English/Welsh/Scottish/Northern Irish/British","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal","","False","E01004825","Bolton 011B"
"Person search","2019-06-03T12:00:00+00:00","False",NA,53.479609,-2.215478,"Male","over 34","White - English/Welsh/Scottish/Northern Irish/British","White","Firearms Act 1968 (section 47)","Firearms","A no further action disposal","","False","E01033688","Manchester 062B"
"Person search","2019-06-03T12:05:00+00:00","True",NA,53.47834,-2.239594,"Male","25-34","White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Article for use in theft","A no further action disposal","","False","E01033653","Manchester 055B"
"Person search","2019-06-03T13:00:00+00:00","False",NA,53.591871,-2.436986,"Male","over 34","White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Stolen goods","A no further action disposal","","False","E01004820","Bolton 011A"
"Person search","2019-06-03T14:54:00+00:00","False",NA,53.48245,-2.243339,"Male","18-24","Black/African/Caribbean/Black British - Caribbean","Black","Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","A no further action disposal","","False","E01033658","Manchester 054C"
"Person search","2019-06-03T15:30:00+00:00","False",NA,53.485086,-2.246444,"Male","18-24","Asian/Asian British - Pakistani","Asian","Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","A no further action disposal","","False","E01032909","Salford 033F"
"Person search","2019-06-03T15:30:00+00:00","False",NA,53.485086,-2.246444,"","","Asian/Asian British - Pakistani","Asian","Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","A no further action disposal","","False","E01032909","Salford 033F"
"Vehicle search","2019-06-03T15:30:00+00:00","False",NA,53.485086,-2.246444,"","","","","Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","A no further action disposal","","False","E01032909","Salford 033F"
"Person search","2019-06-03T15:32:00+00:00","False",NA,53.48125,-2.236341,"Male","","White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","A no further action disposal","","False","E01033653","Manchester 055B"
"Person search","2019-06-03T16:00:00+00:00","False",NA,53.485065,-2.243249,"","10-17","Black/African/Caribbean/Black British - Any other Black/African/Caribbean background","Black","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","Community resolution","True","False","E01033658","Manchester 054C"
"Person search","2019-06-03T17:45:00+00:00","True",NA,53.48125,-2.236341,"Male","18-24","Other ethnic group - Not stated","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal","","False","E01033653","Manchester 055B"
"Person search","2019-06-03T17:50:00+00:00","True",NA,53.487295,-2.280004,"Male","","White - English/Welsh/Scottish/Northern Irish/British","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal","","False","E01005682","Salford 024D"
"Person search","2019-06-03T23:15:00+00:00","False",NA,53.590036,-2.222702,"Male","10-17","White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Article for use in theft","A no further action disposal","","False","E01005504","Rochdale 018D"
"Person search","2019-06-03T23:20:00+00:00","False",NA,53.590036,-2.222702,"Male","10-17","White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Article for use in theft","A no further action disposal","","False","E01005504","Rochdale 018D"
"Person search","2019-06-03T23:50:00+00:00","False",NA,53.51971,-2.652508,"Female","18-24","White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Articles for use in criminal damage","A no further action disposal","","False","E01006403","Wigan 021G"
"Person and Vehicle search","2019-06-04T09:55:00+00:00","False",NA,53.448289,-2.231972,"Male","25-34","White - English/Welsh/Scottish/Northern Irish/British","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","Arrest","True","False","E01005180","Manchester 030C"
"Person search","2019-06-04T10:10:00+00:00","False",NA,53.596518,-2.296349,"Male","over 34","White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Stolen goods","Arrest","False","False","E01004979","Bury 008C"
"Person search","2019-06-04T10:10:00+00:00","False",NA,53.596518,-2.296349,"Male","18-24","White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Stolen goods","Arrest","False","False","E01004979","Bury 008C"
"Person search","2019-06-04T11:25:00+00:00","False",NA,53.559404,-2.439701,"Male","","White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","A no further action disposal","","False","E01004877","Bolton 025D"
"Person search","2019-06-04T11:36:00+00:00","True",NA,53.479835,-2.238126,"Male","over 34","Black/African/Caribbean/Black British - Caribbean","Black","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal","","False","E01033653","Manchester 055B"
"Person search","2019-06-04T12:25:00+00:00","False",NA,53.411999,-2.156975,"Male","over 34","Black/African/Caribbean/Black British - Any other Black/African/Caribbean background","Black","Police and Criminal Evidence Act 1984 (section 1)","Stolen goods","A no further action disposal","","False","E01033947","Stockport 014E"
